,venue_Neighborhood,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,venue_distance,venue_postalCode,venue_city,venue_state,venue_formattedAddress,venue_neighborhood,venue_address,venue_crossStreet
0,malga,5dbe3f380c7f49000884de69,الفوال اللي يعرف الطلب بدون مانقوله,Afghan Restaurant,False,24.721318,46.849321,26641,14245,الرياض,منطقة الرياض‎,"['الرياض 14245', 'المملكة العربية السعودية']",,,
1,malga,58709bd92520ae35b5fe1dd3,السرير الي اكل فيه,Afghan Restaurant,False,24.590693,46.638974,23699,,,,['المملكة العربية السعودية'],,,
2,malga,567e7951498e0671db8a7314,مطعم سمرقندي,Afghan Restaurant,False,24.580698,46.602932,24495,,,,['المملكة العربية السعودية'],Al-Uraija,,
3,malga,5ee20d8b943a3857fcfb7427,NAZ Restaurant مطعم ناز,Afghan Restaurant,False,24.86368,46.642653,8188,13335,الرياض,منطقة الرياض‎,"['العارض الرياض (طريق ابو بكر الصديق)', 'الرياض 13335', 'المملكة العربية السعودية']",,العارض الرياض,طريق ابو بكر الصديق
4,malga,52efec6f498e54b1bd28b36e,البخاري الخمس نجوم,Afghan Restaurant,False,24.834847,46.76553,17081,,,,['المملكة العربية السعودية'],,,
5,malga,524dadd4498e4919c03dfadf,مطعم غصن الرمان,Middle Eastern Restaurant,False,24.579276882256163,46.78279204476034,30772,,الرياض,منطقة الرياض‎,"['alaziziyah Distract (alaziziyah Rd)', 'الرياض', 'المملكة العربية السعودية']",Al-Aziziyah,alaziziyah Distract,alaziziyah Rd
6,malga,5c65a8d412c8f0002c314dd3,الكباس,Afghan Restaurant,False,24.623674,46.551038,20340,13784,الرياض,منطقة الرياض‎,"['الرياض 13784', 'المملكة العربية السعودية']",,,
7,malga,5c93dcc4dab4b1002c3f4def,"اطلق بخاري بالمونسية "" اطلب على الفحم و رز احمر و بتشكرني""",Afghan Restaurant,False,24.821028,46.764303,16684,13246,الرياض,منطقة الرياض‎,"['الرياض 13246', 'المملكة العربية السعودية']",,,
8,malga,58babea7d8f3e95ec299e49c,مطعم بهارات الشواية البخاري,Afghan Restaurant,False,24.826244,46.748871,15238,,,,['المملكة العربية السعودية'],,,
9,malga,520bd7fa11d2caaabfcd265e,بوفية الإطلال | تشباتي ومطبق,Afghan Restaurant,False,24.766670738617943,46.806575742820506,21149,,,,['المملكة العربية السعودية'],,,
10,malga,5698cc36498e15c81a0a077d,مطعم بخاري,Afghan Restaurant,False,24.656162,46.673082,17679,,,,['المملكة العربية السعودية'],,,
11,malga,526a3f3a498ec61b00f3a6fa,مطعم مذاق الرز (بخاري),Afghan Restaurant,False,24.67841428081218,46.71847155177019,18088,,,,['المملكة العربية السعودية'],,,
12,malga,566bcf1b498e25d72f5ae6aa,فوال حارتنا الرهيب الي قفل و فتح محله بخاري,Afghan Restaurant,False,24.785011849639112,46.791275707630845,19338,,,,['المملكة العربية السعودية'],,,
